"","STATE","EST","E95L","E95H","EST_F","E95L_F","E95H_F","POP","STROKE","AFFGEOID","StateName.x","ID","StateName.y","StateName","EST_CASES"
"1",1,0.105712219107768,0.0199705576005949,0.191453880614941,2.57834680750654,0.487086770746218,4.66960684426686,3283,4.1,"1400000US01097005400","Alabama (AL)",1,"Alabama (AL)","Alabama (AL)",3.47053215330803
"2",1,0.105712219107768,0.0199705576005949,0.191453880614941,2.45842370018065,0.464431572106859,4.45241582825445,2099,4.3,"1400000US01097005500","Alabama (AL)",2,"Alabama (AL)","Alabama (AL)",2.21889947907205
"3",1,0.105712219107768,0.0199705576005949,0.191453880614941,2.40255043426746,0.45387630910443,4.35122455943048,1120,4.4,"1400000US01097005200","Alabama (AL)",3,"Alabama (AL)","Alabama (AL)",1.183976854007
"4",1,0.105712219107768,0.0199705576005949,0.191453880614941,1.99457017184468,0.376802973596131,3.61233737009323,850,5.3,"1400000US01097005100","Alabama (AL)",4,"Alabama (AL)","Alabama (AL)",0.898553862416029
"5",1,0.105712219107768,0.0199705576005949,0.191453880614941,1.95763368718089,0.369825140751758,3.54544223361002,1323,5.4,"1400000US01097005300","Alabama (AL)",5,"Alabama (AL)","Alabama (AL)",1.39857265879577
"6",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.924289191122038,0.174611513093793,1.67396686915028,1987,4.7,"1400000US01125010404","Alabama (AL)",6,"Alabama (AL)","Alabama (AL)",0.86318443269696
"7",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.851795921230114,0.160916492458986,1.54267535000124,3131,5.1,"1400000US01125010403","Alabama (AL)",7,"Alabama (AL)","Alabama (AL)",1.36015624497946
"8",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.804473925606218,0.151976687322375,1.45697116389006,2188,5.4,"1400000US01125011701","Alabama (AL)",8,"Alabama (AL)","Alabama (AL)",0.950502032582259
"9",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.762133192679575,0.143977914305408,1.38028847105374,3050,5.7,"1400000US01125011600","Alabama (AL)",9,"Alabama (AL)","Alabama (AL)",1.32496855547344
"10",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.511077552738068,0.0965498954753913,0.925605210000745,3491,8.5,"1400000US01125011703","Alabama (AL)",10,"Alabama (AL)","Alabama (AL)",1.51654597611731
"11",1,0.0434415919827358,0.00820674111540826,0.0786764428500633,0.482684355363731,0.0911860123934251,0.874182698334037,2421,9,"1400000US01125011800","Alabama (AL)",11,"Alabama (AL)","Alabama (AL)",1.05172094190203
"12",1,0.00494751464244816,0.000934656627026924,0.00896037265786939,0.0749623430673963,0.0141614640458625,0.13576322208893,2896,6.6,"1400000US01053970600","Alabama (AL)",12,"Alabama (AL)","Alabama (AL)",0.143280024045299
"13",5,0.100157003739477,0.0189210975719197,0.181392909907035,2.63571062472309,0.497923620313675,4.7734976291325,2613,3.8,"1400000US05139950800","Arkansas (AR)",13,"Arkansas (AR)","Arkansas (AR)",2.61710250771254
"14",5,0.100157003739477,0.0189210975719197,0.181392909907035,2.44285374974335,0.461490184680967,4.42421731480573,3629,4.1,"1400000US05139950700","Arkansas (AR)",14,"Arkansas (AR)","Arkansas (AR)",3.63469766570563
"15",5,0.100157003739477,0.0189210975719197,0.181392909907035,2.22571119421061,0.420468834931548,4.03095355348966,2532,4.5,"1400000US05139950600","Arkansas (AR)",15,"Arkansas (AR)","Arkansas (AR)",2.53597533468356
"16",5,0.100157003739477,0.0189210975719197,0.181392909907035,1.75714041648206,0.331949080209117,3.182331752755,1604,5.7,"1400000US05139950900","Arkansas (AR)",16,"Arkansas (AR)","Arkansas (AR)",1.60651833998122
"17",5,0.100157003739477,0.0189210975719197,0.181392909907035,1.43081433913539,0.270301393884567,2.59132728438621,3153,7,"1400000US05139951000","Arkansas (AR)",17,"Arkansas (AR)","Arkansas (AR)",3.15795032790572
"18",5,0.00905033166370127,0.00170973773249598,0.0163909255949065,0.192560248163857,0.0363773985637443,0.348743097763969,1654,4.7,"1400000US05139950300","Arkansas (AR)",18,"Arkansas (AR)","Arkansas (AR)",0.149692485717619
"19",22,0.606372221482056,0.114552428079889,1.09819201488422,21.6561507672163,4.09115814571033,39.2211433887223,2799,2.8,"1400000US22033001600","Louisiana (LA)",19,"Louisiana (LA)","Louisiana (LA)",16.9723584792828
"20",22,0.515069756907884,0.0973040802233755,0.932835433592392,16.0959299033714,3.04075250698048,29.1511072997623,3455,3.2,"1400000US22019003300","Louisiana (LA)",20,"Louisiana (LA)","Louisiana (LA)",17.7956601011674
"21",22,0.515069756907884,0.0973040802233755,0.932835433592392,14.3074932474412,2.70289111731599,25.9120953775665,3459,3.6,"1400000US22019003101","Louisiana (LA)",21,"Louisiana (LA)","Louisiana (LA)",17.8162628914437
"22",22,0.645037558607898,0.121856866003294,1.1682182512125,13.7242033746361,2.59269927666583,24.8557074726064,1422,4.7,"1400000US22095070600","Louisiana (LA)",22,"Louisiana (LA)","Louisiana (LA)",9.1724340834043
