GEO_ID,LocationName,NAME,Female_pt,Female_18over_pt,Pop,Pop_18over,Pop_20_24_pt,Pop_25_44_pt,Pop_45_64_pt,Pop_65_74_pt,Pop_75_84_pt,Pop_85over_pt,Pop_20_24_18over_pt,Pop_25_44_18over_pt,Pop_45_64_18over_pt,Pop_65_74_18over_pt,Pop_75_84_18over_pt,Pop_85over_18over_pt,Hispanic_pt,NH_White_pt,NH_Black_pt,EduLHigh_18over_pt,EduLHigh_25over_pt,Poverty_18over_pt,Insured_pt,Insured_19over_pt,Insured_19_64_pt,MHI,MHV
1400000US01003010200,1003010200,"Census Tract 102, Baldwin County, Alabama",54.31701031,53.31932773,3104,2380,5.670103093,23.48582474,29.3814433,11.69458763,4.18814433,0.99871134,7.394957983,30.6302521,38.31932773,15.25210084,5.462184874,1.302521008,0,86.63015464,11.37242268,17.39495798,14.41108545,18.52941176,87.15626011,83.7628866,79.04656319,33953,139500
1400000US01003010300,1003010300,"Census Tract 103, Baldwin County, Alabama",51.35450972,49.54088325,9413,6861,3.866992457,19.62179964,26.25092957,11.50536492,4.950600234,0.711781579,5.305349074,26.92027401,36.01515814,15.78487101,6.792012826,0.976534033,2.241580793,75.10889196,18.46382662,9.911091678,9.13380519,7.055311125,93.36718159,92.34930448,90.05824463,62857,192400
1400000US01003010400,1003010400,"Census Tract 104, Baldwin County, Alabama",49.12355708,48.02118172,4678,3588,4.745617785,22.53099615,28.87986319,10.02565199,4.724241129,1.496365968,6.18729097,29.37569677,37.65328874,13.07134894,6.15942029,1.950947603,3.398888414,84.84395041,8.037622916,12.06800446,12.48025276,11.84503902,89.48268491,86.53791536,82.83230714,52538,148500
1400000US01003010500,1003010500,"Census Tract 105, Baldwin County, Alabama",46.23438648,47.08012675,5444,4418,6.208670096,25.84496694,25.99191771,12.72961058,6.704628949,1.359294636,7.650520598,31.84698959,32.028067,15.68583069,8.261656858,1.674966048,2.240999265,84.14768553,10.74577517,10.97781802,10.16691958,13.19517314,91.58743282,89.22425205,84.94265631,49236,144900
1400000US01003010600,1003010600,"Census Tract 106, Baldwin County, Alabama",50.60308555,49.42391736,3565,2517,9.256661992,23.61851332,24.09537167,6.760168303,1.935483871,0.589060309,13.11084625,33.45252284,34.12793008,9.574890743,2.74135876,0.834326579,5.105189341,30.99579243,63.45021038,29.16170044,30.56102362,22.72546683,79.15848527,71.95833333,67.4722088,30453,100200
1400000US01003010701,1003010701,"Census Tract 107.01, Baldwin County, Alabama",53.30370014,54.84270882,8324,6453,2.907256127,21.26381547,30.9346468,9.682844786,8.121095627,1.297453148,3.750193708,27.42910274,39.90392066,12.49031458,10.47574771,1.673640167,3.45987506,89.572321,2.426717924,4.958933829,4.532434709,5.609073959,93.14803625,92.53516624,90.02775998,85344,275600
1400000US01003010703,1003010703,"Census Tract 107.03, Baldwin County, Alabama",49.28111804,51.67334096,19892,13984,4.368590388,29.41886185,24.02976071,8.028353107,2.43313895,0.437361753,6.214244851,41.84782609,34.1819222,11.42019451,3.461098398,0.622139588,1.759501307,83.90307661,8.435551981,6.464530892,5.15625,2.820733104,90.65750934,89.63392268,87.69056538,91015,228300
1400000US01003010704,1003010704,"Census Tract 107.04, Baldwin County, Alabama",53.31632653,52.69025691,5880,4126,5.340136054,26.59863946,25.06802721,7.925170068,3.979591837,0.629251701,7.610276297,37.90596219,35.72467281,11.2942317,5.671352399,0.896752302,1.411564626,77.44897959,19.55782313,3.853611246,2.437086093,10.95492002,92.8827445,91.24877089,89.31251876,70188,162400
1400000US01003010705,1003010705,"Census Tract 107.05, Baldwin County, Alabama",52.75041051,51.07123728,9744,7468,7.224958949,34.98563218,21.71592775,5.736863711,4.649014778,1.067323481,9.426888056,45.64809855,28.33422603,7.485270487,6.065881093,1.392608463,8.179392447,75.0410509,13.44417077,4.80717729,3.779551272,12.6129772,94.57041814,93.78592937,92.70565553,59601,170000
1400000US01003010800,1003010800,"Census Tract 108, Baldwin County, Alabama",51.40704946,51.94479297,7036,5579,9.33769187,18.54747015,27.40193292,12.13757817,7.617964753,1.776577601,11.776304,23.39128876,34.55816455,15.30740276,9.607456533,2.240544901,0.980670836,70.19613417,23.42239909,10.59329629,8.656276327,7.045412073,95.24089307,93.78596087,91.60839161,61650,286900
